Header found at row 0

Columns:
['Référentiel Oncologique — Types de Cancer, Codes CIM-10 & Spécialités Médicales', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9', 'Unnamed: 10']

First 100 rows:
             Référentiel Oncologique — Types de Cancer, Codes CIM-10 & Spécialités Médicales                Unnamed: 1                                  Unnamed: 2   Unnamed: 3        Unnamed: 4                   Unnamed: 5                               Unnamed: 6                                                           Unnamed: 7                                Unnamed: 8                                 Unnamed: 9                                               Unnamed: 10
0   Source : OMS / CIM-10 / CIRC / INCa — Usage pédagogique — Projet Registre Cancer Tlemcen                       NaN                                         NaN          NaN               NaN                          NaN                                      NaN                                                                  NaN                                       NaN                                        NaN                                                       NaN
1                                                                                        NaN                       NaN                                         NaN          NaN               NaN                          NaN                                      NaN                                                                  NaN                                       NaN                                        NaN                                                       NaN
2                                                                                         N°             Nom du Cancer                            Type / Sous-type  Code CIM-10       Sexe touché                Tranche d'âge                    Spécialiste Principal                                   Spécialistes Associés (équipe RCP)                     Chirurgien Spécialisé                           Fréquence / Rang                                  Observations importantes
3                                                                                          1          Cancer du Poumon                      NSCLC — Adénocarcinome        C34.1             H > F                    50–75 ans  Oncologue thoracique / pneumo-oncologue                             Radiothérapeute, Pneumologue, Radiologue                     Chirurgien thoracique               1er cancer meurtrier mondial            Tabac = 85% des cas ; dépistage TDM recommandé
4                                                                                          2          Cancer du Poumon               NSCLC — Carcinome épidermoïde        C34.1             H > F                    55–75 ans                     Oncologue thoracique                             Radiothérapeute, Endoscopiste bronchique                     Chirurgien thoracique                              25% des NSCLC                                Fortement lié au tabagisme
5                                                                                          3          Cancer du Poumon         SCLC — Carcinome à petites cellules        C34.9             H > F                    55–70 ans                     Oncologue thoracique               Radiothérapeute (irradiation prophylactique cérébrale)             Chirurgie rare (stade limité)                15% des cancers pulmonaires               Évolution rapide ; chimio en 1ère intention
6                                                                                          4            Cancer du Sein                 Carcinome canalaire invasif        C50.9           F (99%)                    40–70 ans                      Oncologue sénologue                   Radiothérapeute, Chirurgien, Gynécologue oncologue                      Chirurgien sénologue                 1er cancer féminin mondial                 Dépistage par mammographie tous les 2 ans
7                                                                                          5            Cancer du Sein                 Carcinome lobulaire invasif        C50.9                 F                    45–75 ans                      Oncologue sénologue                                 Radiothérapeute, Anatomopathologiste                      Chirurgien sénologue                 10–15% des cancers du sein                       Souvent bilatéral ; IRM recommandée
8                                                                                          6            Cancer du Sein                       Triple négatif (TNBC)        C50.9          F jeunes                    30–50 ans                      Oncologue sénologue                                  Immunothérapeute, Généticien (BRCA)                      Chirurgien sénologue                    15% des cancers du sein                  Plus agressif ; mutation BRCA1 fréquente
9                                                                                          7           Cancer du Côlon                   Adénocarcinome colorectal        C18.9             H = F                    55–80 ans  Oncologue digestif / gastro-entérologue           Radiothérapeute (rectum), Hépatologue (si métastases foie)                     Chirurgien colorectal                          3e cancer mondial                       Dépistage par coloscopie dès 50 ans
